시간,회사명,종목코드,공시제목,제출인,기간
2012.03.19,피에스엠씨,24850,관리종목지정(최근 4사업연도 연속 영업손실 발생 ),코스닥시장본부,2011.09.19
2012.04.13,JH코오스,65310,관리종목지정,코스닥시장본부,2011.10.13
2012.05.17,큐리어스,45050,관리종목지정,코스닥시장본부,2011.11.17
2012.06.20,엔터미디어,68420,관리종목지정(불성실공시법인지정),코스닥시장본부,2011.12.20
2012.07.23,엔케이바이오,19260,관리종목지정(상장폐지사유 발생 ),코스닥시장본부,2012.01.23
2012.08.01,금강제강,105070,관리종목지정(상장폐지사유발생),코스닥시장본부,2012.02.01
2012.08.13,오리엔탈정공,14940,관리종목지정,코스닥시장본부,2012.02.13
2012.08.14,티에스넥스젠,43220,관리종목지정,코스닥시장본부,2012.02.14
2012.08.14,GT&T,53870,[정정]관리종목지정(사업보고서 미제출),코스닥시장본부,2012.02.14
2012.08.29,이디디컴퍼니,52650,관리종목지정,코스닥시장본부,2012.02.29
2012.08.31,디지텍시스템,91690,관리종목지정(사업보고서(연결감사보고서) 미제출),코스닥시장본부,2012.02.29
2012.09.18,SSCP,71660,관리종목지정(상장폐지 사유 발생),코스닥시장본부,2012.03.18
2012.09.20,메디콕스,54180,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부,2012.03.20
2012.10.18,엘컴텍,37950,관리종목지정(회생절차 개시신청),코스닥시장본부,2012.04.18
2012.11.27,아큐텍,13780,관리종목지정(불성실공시),코스닥시장본부,2012.05.27
2012.12.13,네이처셀,7390,관리종목지정(불성실공시법인),코스닥시장본부,2012.06.13
2012.12.17,삼우이엠씨,26250,관리종목지정(회생절차 개시신청),코스닥시장본부,2012.06.17
2013.01.10,아큐텍,13780,관리종목지정(불성실공시),코스닥시장본부,2012.07.10
2013.01.30,엠텍비젼,74000,관리종목지정(회생절차 개시신청),코스닥시장본부,2012.07.30
2013.03.15,마이스코,88700,관리종목지정(회생절차 개시신청),코스닥시장본부,2012.09.15
2013.03.19,아이에이,38880,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부,2012.09.19
2013.03.21,아라온테크,41060,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부,2012.09.21
2013.03.21,렉스엘이앤지,4790,관리종목지정(자본잠식 50%이상 등),코스닥시장본부,2012.09.21
2013.03.21,디에스,51710,관리종목지정(상장폐지사유 발생 등),코스닥시장본부,2012.09.21
2013.03.21,위다스,56810,관리종목지정(상장폐지 사유 발생 외 3건),코스닥시장본부,2012.09.21
2013.03.25,케이피엠테크,42040,관리종목지정(상장폐지사유 발생),코스닥시장본부,2012.09.25
2013.03.27,에스비엠,37630,관리종목지정(상장폐지사유 발생 ),코스닥시장본부,2012.09.27
2013.03.28,모린스,110310,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생 ),코스닥시장본부,2012.09.28
2013.04.01,와이즈파워,40670,관리종목지정(상장폐지사유 발생),코스닥시장본부,2012.10.01
2013.04.25,네이처셀,7390,관리종목지정(불성실공시),코스닥시장본부,2012.10.25
2013.05.29,디에스티,33430,관리종목지정(파산신청),코스닥시장본부,2012.11.29
2013.08.28,태산엘시디,36210,관리종목지정(자본잠식률 50% 이상 등),코스닥시장본부,2013.02.28
2013.09.23,한진피앤씨,61460,관리종목지정(불성실공시),코스닥시장본부,2013.03.23
2013.10.01,삼표시멘트,38500,관리종목지정(회생절차 개시신청),코스닥시장본부,2013.04.01
2014.02.18,디지텍시스템,91690,관리종목지정(불성실공시),코스닥시장본부,2013.08.18
2014.02.26,나노트로닉스,10670,관리종목지정(상장폐지사유 발생),코스닥시장본부,2013.08.26
2014.03.03,뉴아세아,13340,관리종목지정(상장폐지사유 발생),코스닥시장본부,2013.09.03
2014.03.19,대성엘텍,25440,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부,2013.09.19
2014.03.19,유니드코리아,110500,관리종목지정(불성실공시),코스닥시장본부,2013.09.19
2014.03.20,피앤텔,54340,관리종목지정(최근 4사업연도 연속 영업손실 발생 ),코스닥시장본부,2013.09.20
2014.03.20,유니슨,18000,관리종목지정(최근 4사업연도 연속 영업손실 발생 ),코스닥시장본부,2013.09.20
2014.03.20,광무,29480,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부,2013.09.20
2014.03.21,에버테크노,70480,관리종목지정(상장폐지사유 발생 등),코스닥시장본부,2013.09.21
2014.03.21,오성첨단소재,52420,관리종목지정(자본잠식률 50% 이상 등),코스닥시장본부,2013.09.21
2014.03.21,와이즈파워,40670,관리종목지정(자본잠식률 50% 이상 등),코스닥시장본부,2013.09.21
2014.03.28,CU전자,56340,관리종목지정(최근 4사업연도 연속 영업손실 발생),코스닥시장본부,2013.09.28
2014.10.30,영진코퍼레이션,53330,관리종목지정(회생절차 개시신청),코스닥시장본부,2014.04.30
2014.11.03,잘만테크,90120,관리종목지정(회생절차 개시신청),코스닥시장본부,2014.05.03
2014.12.05,에이스하이텍,71930,관리종목지정(파산신청),코스닥시장본부,2014.06.05
2015.02.17,코데즈컴바인,47770,관리종목지정(파산신청),코스닥시장본부,2014.08.17
2015.03.02,우양에이치씨,101970,관리종목지정(회생절차 개시신청),코스닥시장본부,2014.09.02
2015.03.12,오리엔탈정공,14940,관리종목지정(자본잠식률 50% 이상 등),코스닥시장본부,2014.09.12
2015.03.19,한프,66110,관리종목지정(최근 4사업연도 영업손실 발생 등),코스닥시장본부,2014.09.19
2015.03.19,코세스,89890,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부,2014.09.19
2015.03.20,아이디에스,78780,관리종목지정(자본잠식률 50% 이상 등 2건),코스닥시장본부,2014.09.20
2015.03.23,엘아이에스,138690,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부,2014.09.23
2015.03.23,GT&T,53870,관리종목지정(자본잠식률 50% 이상 등 ),코스닥시장본부,2014.09.23
2015.03.23,아이팩토리,53810,관리종목지정(최근 4사업연도 연속 영업손실 발생 등 2건),코스닥시장본부,2014.09.23
2015.03.31,에이스하이텍,71930,관리종목지정(상장폐지사유 발생 등 2건),코스닥시장본부,2014.09.30
2015.03.31,씨앤케이인터,39530,관리종목지정( 상장폐지사유 발생),코스닥시장본부,2014.09.30
2015.03.31,우전,52270,관리종목지정(정기주주총회 미개최 또는 재무제표 미승인),코스닥시장본부,2014.09.30
2015.05.07,티에스엠텍,66350,관리종목지정(상장폐지사유 발생 ),코스닥시장본부,2014.11.07
2015.05.07,디아이디,74130,관리종목지정(회생절차 개시신청 ),코스닥시장본부,2014.11.07
2015.06.12,UCI,38340,관리종목지정(불성실공시),코스닥시장본부,2014.12.12
2015.06.17,시너지이노베이션,48870,관리종목지정(회생절차 개시신청),코스닥시장본부,2014.12.17
2015.08.17,브이티지엠피,18290,관리종목지정(반기보고서 미제출),코스닥시장본부,2015.02.17
2015.08.17,현진소재,53660,관리종목지정(반기보고서 미제출),코스닥시장본부,2015.02.17
2015.08.27,KCW,68060,관리종목지정(상장폐지사유 발생),코스닥시장본부,2015.02.27
2015.08.27,KX하이텍,52900,관리종목지정(불성실공시),코스닥시장본부,2015.02.27
2015.12.03,에이티세미콘,89530,관리종목지정(불성실공시 ),코스닥시장본부,2015.06.03
2016.01.28,오상헬스케어,36220,관리종목지정(불성실공시),코스닥시장본부,2015.07.28
2016.03.16,에이디칩스,54630,관리종목지정(최근 4사업연도 연속 영업손실 발생),코스닥시장본부,2015.09.16
2016.03.17,동일철강,23790,관리종목지정(최근 4사업연도 연속 영업손실 발생 등),코스닥시장본부,2015.09.17
2016.03.17,아이앤씨,52860,관리종목지정(최근 4사업연도 연속 영업손실 발생 ),코스닥시장본부,2015.09.17
2016.03.22,엔에스브이,95300,관리종목지정(상장폐지사유 발생),코스닥시장본부,2015.09.22
2016.03.22,에스에스컴텍,36500,관리종목지정(최근 4사업연도 연속 영업손실 발생),코스닥시장본부,2015.09.22
2016.03.22,제이앤유글로벌,86200,관리종목지정(상장폐지사유 발생),코스닥시장본부,2015.09.22
2016.03.22,씨엘인터내셔널,37340,관리종목지정(자본잠식률 50% 이상 등),코스닥시장본부,2015.09.22
2016.03.22,신양오라컴,86830,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부,2015.09.22
2016.03.22,피엘에이,82390,관리종목지정(자본잠식률 50% 이상 등),코스닥시장본부,2015.09.22
2016.03.22,플렉스컴,65270,관리종목지정(상장폐지사유 발생 등),코스닥시장본부,2015.09.22
2016.03.25,CS,65770,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부,2015.09.25
2016.03.28,파이오링크,170790,관리종목지정(상장폐지사유 발생),코스닥시장본부,2015.09.28
2016.03.30,디에스티,33430,관리종목지정(자본잠식률 50% 이상 등),코스닥시장본부,2015.09.30
2016.04.18,SBW생명과학,151910,관리종목지정(회생절차 개시신청),코스닥시장본부,2015.10.18
2016.07.22,케이에스피,73010,관리종목지정(회생절차 개시신청),코스닥시장본부,2016.01.22
2016.09.20,WI,73570,관리종목지정(불성실공시),코스닥시장본부,2016.03.20
2017.03.15,한국정밀기계,101680,관리종목지정(최근 4사업연도 연속 영업손실 발생),코스닥시장본부,2016.09.15
2017.03.15,씨엔플러스,115530,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생 등),코스닥시장본부,2016.09.15
2017.03.16,오리엔탈정공,14940,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부,2016.09.16
2017.03.22,에스에이치엔엘,50320,관리종목지정(최근 4사업연도 연속 영업손실 발생 ),코스닥시장본부,2016.09.22
2017.03.23,스틸플라워,87220,관리종목지정(최근 4사업연도 연속 영업손실 발생),코스닥시장본부,2016.09.23
2017.03.23,테라사이언스,73640,관리종목지정(자본잠식률 50% 이상 등),코스닥시장본부,2016.09.23
2017.03.23,트루윈,105550,관리종목지정(상장폐지사유 발생 ),코스닥시장본부,2016.09.23
2017.03.23,에이루트,96690,관리종목지정(상장폐지사유 발생),코스닥시장본부,2016.09.23
2017.03.23,비덴트,121800,관리종목지정(상장폐지사유 발생),코스닥시장본부,2016.09.23
2017.03.23,중앙디앤엠,51980,관리종목지정(최근 4사업연도 연속 영업손실 발생 ),코스닥시장본부,2016.09.23
2017.03.23,에이티세미콘,89530,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부,2016.09.23
2017.03.24,알파홀딩스,117670,관리종목지정(상장폐지사유 발생),코스닥시장본부,2016.09.24
2017.03.29,에스엘바이오닉스,214310,관리종목지정(상장폐지사유 발생),코스닥시장본부,2016.09.29
2017.03.30,썬코어,51170,관리종목지정(최근 4사업연도 연속 영업손실 발생 ),코스닥시장본부,2016.09.30
2017.08.11,코디,80530,관리종목지정(반기검토 의견거절),코스닥시장본부,2017.02.11
2017.08.14,위노바,39790,관리종목지정(반기검토의견 범위제한 한정),코스닥시장본부,2017.02.14
2017.08.21,레이젠,47440,관리종목지정(파산신청),코스닥시장본부,2017.02.21
2017.08.29,썬텍,122800,관리종목지정(반기보고서 미제출),코스닥시장본부,2017.02.28
2017.09.14,행남사,8800,관리종목지정(파산신청),코스닥시장본부,2017.03.14
2017.11.14,레이젠,47440,관리종목지정(파산신청),코스닥시장본부,2017.05.14
2017.11.17,에스에프씨,112240,관리종목지정(파산신청),코스닥시장본부,2017.05.17
2018.01.16,에스마크,30270,관리종목지정(불성실공시),코스닥시장본부,2017.07.16
2018.03.16,EV수성,84180,관리종목지정(상장폐지사유 발생),코스닥시장본부,2017.09.16
2018.03.20,우성아이비,194610,관리종목지정(상장폐지사유 발생),코스닥시장본부,2017.09.20
2018.03.21,스킨앤스킨,159910,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부,2017.09.21
2018.03.22,지디,155960,관리종목지정(상장폐지사유 발생),코스닥시장본부,2017.09.22
2018.03.22,THQ,192410,관리종목지정(상장폐지사유 발생),코스닥시장본부,2017.09.22
2018.03.22,에임하이,43580,관리종목지정(상장폐지사유 발생 등),코스닥시장본부,2017.09.22
2018.03.22,차바이오텍,85660,관리종목지정(최근 4사업연도 연속 영업손실 발생 ),코스닥시장본부,2017.09.22
2018.03.22,트레이스,52290,관리종목지정(상장폐지사유 발생),코스닥시장본부,2017.09.22
2018.03.22,에프티이앤이,65160,관리종목지정(상장폐지사유 발생),코스닥시장본부,2017.09.22
2018.03.22,지나인제약,78650,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생 등),코스닥시장본부,2017.09.22
2018.03.22,블루베리 NFT,44480,관리종목지정(최근 4사업연도 연속 영업손실 발생),코스닥시장본부,2017.09.22
2018.03.22,행남사,8800,관리종목지정(자본잠식률 50% 이상 등),코스닥시장본부,2017.09.22
2018.03.28,디에스케이,109740,관리종목지정(상장폐지사유 발생 ),코스닥시장본부,2017.09.28
2018.04.02,모다,149940,관리종목지정(상장폐지사유 발생 ),코스닥시장본부,2017.10.02
2018.04.02,에이루트,96690,관리종목지정(사업보고서 미제출 ),코스닥시장본부,2017.10.02
2018.04.09,레이젠,47440,관리종목지정(상장폐지사유 발생),코스닥시장본부,2017.10.09
2018.05.10,UCI,38340,관리종목지정(상장폐지사유 발생 ),코스닥시장본부,2017.11.10
2018.06.19,상상인인더스트리,101000,관리종목지정(회생절차개시신청),코스닥시장본부,2017.12.19
2018.06.26,신텍,99660,관리종목지정(상장폐지사유 발생),코스닥시장본부,2017.12.26
2018.08.14,디젠스,113810,"관리종목지정(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부,2018.02.14
2018.08.14,피앤텔,54340,"관리종목지정(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부,2018.02.14
2018.08.14,데코앤이,17680,관리종목지정(반기검토 의견거절),코스닥시장본부,2018.02.14
2018.09.27,화진,134780,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부,2018.03.27
2018.10.08,썬텍,122800,관리종목지정(상장폐지사유 발생),코스닥시장본부,2018.04.08
2018.10.16,케스피온,79190,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부,2018.04.16
2018.10.24,이엠앤아이,83470,관리종목지정(파산신청),코스닥시장본부,2018.04.24
2018.11.02,이엠앤아이,83470,관리종목지정(파산신청),코스닥시장본부,2018.05.02
2018.11.07,EV수성,84180,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부,2018.05.07
2018.11.22,이엠앤아이,83470,관리종목지정(파산신청),코스닥시장본부,2018.05.22
2019.01.08,에이치디,102210,관리종목지정(상장적격성 실질심사 대상 결정 ),코스닥시장본부,2018.07.08
2019.01.28,바른전자,64520,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부,2018.07.28
2019.01.28,하이소닉,106080,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부,2018.07.28
2019.02.15,바이오빌,65940,관리종목지정(회생절차 개시신청),코스닥시장본부,2018.08.15
2019.02.20,이엠앤아이,83470,관리종목지정(회생절차 개시신청),코스닥시장본부,2018.08.20
2019.03.06,노블엠앤비,106520,관리종목지정(파산신청),코스닥시장본부,2018.09.06
2019.03.15,크로바하이텍,43590,관리종목지정(상장폐지사유 발생),코스닥시장본부,2018.09.15
2019.03.18,케어젠,214370,관리종목지정(상장폐지사유 발생),코스닥시장본부,2018.09.18
2019.03.18,유아이디,69330,관리종목지정(최근 4사업연도 연속 영업손실 발생),코스닥시장본부,2018.09.18
2019.03.18,라이트론,69540,관리종목지정(상장폐지사유 발생),코스닥시장본부,2018.09.18
2019.03.18,스카이문스테크놀로지,33790,관리종목지정(최근 4사업연도 연속 영업손실 발생),코스닥시장본부,2018.09.18
2019.03.19,국순당,43650,관리종목지정(최근 4사업연도 연속 영업손실 발생),코스닥시장본부,2018.09.19
2019.03.19,럭슬,33600,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생 등),코스닥시장본부,2018.09.19
2019.03.19,알톤스포츠,123750,관리종목지정(최근 4사업연도 연속 영업손실 발생),코스닥시장본부,2018.09.19
2019.03.19,솔고바이오,43100,관리종목지정(최근 4사업연도 연속 영업손실 발생 ),코스닥시장본부,2018.09.19
2019.03.20,협진,138360,관리종목지정(상장폐지사유 발생),코스닥시장본부,2018.09.20
2019.03.21,티에스넥스젠,43220,관리종목지정(최근 4사업연도 연속 영업손실 발생),코스닥시장본부,2018.09.21
2019.03.21,아이엠텍,226350,관리종목지정(자본잠식률 50% 이상 등),코스닥시장본부,2018.09.21
2019.03.21,영신금속,7530,관리종목지정(상장폐지사유 발생 ),코스닥시장본부,2018.09.21
2019.03.21,코다코,46070,관리종목지정(상장폐지사유 발생),코스닥시장본부,2018.09.21
2019.03.27,파인넥스,123260,관리종목지정(상장폐지사유 발생),코스닥시장본부,2018.09.27
